hero,comic
"JONES, RICHARD MILHO",CM 61
HUMAN TORCH/JOHNNY S,FF 174
MASTER MAN/WILHELM L,N 12
STILT-MAN/WILBUR DAY,IM 225
DAZZLER II/ALLISON B,M/TU 108
STILETTO II/,PWZ 8
WARLOCK III,NM 79
PROFESSOR X/CHARLES,UX 114
INVISIBLE WOMAN/SUE,ASM2 4
ANCIENT ONE,DRSTR2 13
"WATSON-PARKER, MARY",SMTU 7
"ERWIN, CLYTEMNESTRA",IM 216
SILVER SABLE,SSWP 28
IKARIS/IKE HARRIS [E,E2 1
HELLSTORM/DAIMON HEL,H2 277
"JONES, RICHARD MILHO",H2 419
SPIDER-MAN/PETER PARKER,PPTSS 121
"HOGAN, HAROLD J. HAP",IM 199
BEAST/HENRY &HANK& P,X 39
SPIDER-MAN/PETER PARKER,HR:R 3
BISHOP /,M/HOL 1996/5
LIBRA/GUSTAV BRANDT,AVF 7
WONDER MAN/SIMON WIL,WCA2 25
TOPAZ,TOD 63
CYCLOPS/SCOTT SUMMER,X&AF2 2
"WATSON-PARKER, MARY",ASM 345
"KING, HANNIBAL/HENRY",DRSTR2 59
CALIBAN/,XFOR 44
GOBLYN,AF 112
"BANNER, BETTY ROSS T",H2 256
ANGEL/WARREN KENNETH,UTSM '97
MODOK/GEORGE TARLETO,CA 119
HULK/DR. ROBERT BRUC,ASM 119
ZEUS,SOLOA 11/2
"REESE, MURRAY",UX 252
SILVER SURFER/NORRIN,FF 77
OX,S-M 94
HYDROMAN/MORRIE BENC,FF 326
SASQUATCH/WALTER LAN,AF 79
IRON MAN/TONY STARK,IM 133
THING/BENJAMIN J. GR,FF 373
EMPRESS R'KILL [SKRU,UX 137
HUMAN TORCH/JOHNNY S,FF 95
"WISDOM, PETER",XCAL 119
WHITE QUEEN/EMMA FRO,GENX 17
"ROBERTSON, JOE",ASM 251
MELTER/BRUNO HORGAN,A 6
"FURY, COL. NICHOLAS",ST 143
"HARKNESS, AGATHA",FF 103
"STUART, DR. ALISTAIR",XCAL 12
NEEDLE,SOLOA 3/2
"ALRAUNE, MARLENE",MK 34/2
CAPTAIN MARVEL II/MO,A 242
NIGHTHAWK II/KYLE RI,DEF 52
HUMAN TORCH/JOHNNY S,FF 117
BLACK KNIGHT V/DANE,A 265
KINGPIN/WILSON FISK,DD 377
"JONES, RICHARD MILHO",H2 383
MAGIK/ILLYANA RASPUT,NM 24
ARAKI [SHI'AR],UX 136
"TRAINER, DR. SEWARD",ASS 1
"PARKER, MAY",ASM 304
PARALYZER,CA 4
"JONES, RICHARD MILHO",M/CP 52/3
"SHINCHUKO, LOTUS",DHKF 22/2
MEPHISTO,T2 18
BLACK PANTHER/T'CHAL,BP3 31
JACK O'DIAMONDS,UX 42/2
CHAMBER/JONOTHON STA,GENX 25
"STANKOWICZ, FABIAN",CA 427
"SAXON, STARR",A 325
JUBILEE/JUBILATION L,UX 273
"POWER, DR. JIM",PP 40
DAREDEVIL/MATT MURDO,MK3 41
MAGMA/AMARA AQUILLA/,NM 30
SUB-MARINER/NAMOR MA,N 21
IRON MAN/TONY STARK,MICRO 43
EMPLATE/MARIUS ST. C,GENX 14
SPIDER-MAN/PETER PARKER,UTSM 17
MIRAGE II/DANIELLE M,UX 9
LORELEI II/MELODI [A,T 441/2
GEE/ALEX POWER,NW 75
SUNSPOT/ROBERTO DACO,XFOR 49
DR. STRANGE/STEPHEN,ST 129/2
HYPERION,A 144
ROGUE /,X 80
BLACK KING/SEBASTIAN,UX 130
MARVEL GIRL/JEAN GRE,X:HY 21
MANTIS/? BRANDT,A 120
"COWEN, BUCK",WBN 38
MORBIUS/DR. MICHAEL,MSU 6
TOL-NOK,I:GR
SISTER PERPETUA,XM 73
"STARK, MORGAN",IM 286
CAPTAIN AMERICA,A 145
BLACK LAMA,IM 81
DARIA,GENX 23
BROTHER VOODOO | MUT,MX '01
JUBILEE/JUBILATION L,W2 51
"URICH, BEN",S-M 88
INTERLOPER,ST2 7/2
IRON MAN IV/JAMES R.,WARM 6
"JAMESON, MARLA MADIS",PPTSS 156
"FURY, COL. NICHOLAS",W2 164
"DAHN, FARNOQ",H2 390
THUNDERBIRD II/JAMES,XFOR 53
MONGU,AIF 14
FIRELORD/PYREUS KRIL,IG 4
CAPTAIN MARVEL/CAPTA,A 96
"HARRIS, MONROE",DHAWK 10
SUB-MARINER/NAMOR MA,INV 4
"SLOAN, JASON",DD 90
MANTIS/? BRANDT,A 133
NOVA/RICHARD RIDER,NW 13
VISION,AA2 8
KOFI [KYMELLIAN],PP 51
INVISIBLE WOMAN/SUE,X 56
SHE-HULK/JENNIFER WA,M/TIO 88
CAPTAIN AMERICA,TOS 94/2
SPIDER-WOMAN II/JULI,WM2 17
BLACK TOM CASSIDY,XFOR 91
SPIDER-MAN/PETER PARKER,PPTSS 103
"KRYZEWSKI, LEONARD M",A 342
DAYTRIPPER/AMANDA SE,XCAL 75
PISCES/NOAH PERRICON,GR2 7
FORTUNATO,ASM 434
ANT-MAN/DR. HENRY J.,M/TIO 40
DEATH'S HEAD,NF3 3
STORM/ORORO MUNROE S,UX 137
COPYCAT/VANESSA,XFOR 15
PLANTMAN/SAM SMITHER,N 19
HERCULES [GREEK GOD],NM 81
"NAPIER, RAMONA DR.",IM3 16
"HUDSON, HEATHER",MK3 41
THING/BENJAMIN J. GR,FF3 43
NOMAD III/JACK MONRO,CA 345
"HUDSON, HEATHER",AF 54
"RAVEN, SABBATH",M/SH3 3
"JONES, RICHARD MILHO",CM 32
"URICH, BEN",PPTSS 240
SCARLET WITCH/WANDA,A2 10
PYLLAR,JIM 504
SHOCKER/HERMAN SCHUL,DFSM 3
WOLVERINE/LOGAN,UX 367
SPIDER-WOMAN/JESSICA,ASM2 5
INVISIBLE WOMAN/SUE,FF 96
"MACON, ANGELO",UX 251
"BLAIRE, CARTER",DAZZ 21
MOONSTONE II/KARLA S,TB 53
COLOSSUS 2013,UX 141
"LELAND, HARRY",UX 209
SKIDS/SALLY BLEVINS,XTERM 2
CHAMBER/JONOTHON STA,GENX 8
DAREDEVIL/MATT MURDO,IM 36
CAPTAIN AMERICA,CA 231
"MAYE, APRIL",PPTSS 39
HAWK,AA2 25
"WILCOX, DR. BRENT",S-H2 14
MARVEL GIRL/JEAN GRE,XF 18
"PIERCE, ALEXANDER GO",NF3 19
"PARKER, MAY",PPSM2 13
CEREBRO,UX 363 Pg 1-13
JUSTICE II/VANCE AST,A3 19
SKINNER,SOV 3
RICTOR/JULIO ESTEBAN,XF 32
THUNDERBALL/DR. ELIO,T 383
NIGHTCRAWLER/KURT WA,H2 278
MEDUSA/MEDUSALITH AM,DD 273
"PARKER, MAY",PPTSS 225/2
"SUMMERS, NATHAN CHRI",XFOR 12
HAMMERHEAD,SM:L 1
ZOM,DRSTR3 20
QUASIMODO,A 135
IRON,A 188
INVISIBLE WOMAN/SUE,ST 134
SCARLET WITCH/WANDA,TOS 91/2
RY'LOR,XFOR 93
ANACONDA/BLANCHE SIT,IM 160
"DRAKE, FRANKLIN",TOD 40
SCARLET WITCH/WANDA,AWC 56
"BYRD, NATHANIEL ALEX",DHKF 23/2
VIZIER,T 418/2
DAREDEVIL/MATT MURDO,DD 87
KISMET/J'RIDIA STARD,M/TIO 61
"JILLETE, RANDI",DD 336
DIABLO/ESTEBAN DE AB,FFOR 14
"NORRISS, SISTER BARB",COC 1
UNUSCIONE,HFH 8
ANCIENT ONE,ST 146/2
FALCON/SAM WILSON,PM&IF 121
BARON STRUCKER/WOLFG,X&AF2 2
"STRONG, SUSAN",ASM2 20
WEREWOLF BY NIGHT/JA,MK 30
RADIUS/JARED CORBO,AF2 19
GLADIATOR II,INH3 4
VERTIGO,V&SW2 3
"JARVIS, EDWIN",T 345
ENCHANTRESS/AMORA/HE,T 259
VASHTI,AF 40
CAPTAIN AMERICA,M/CP 45/2
