hero1,hero2
NOMAD III/JACK MONRO,"COOPER, DR. VALERIE"
NIGHTHAWK/KYLE RICHM,HELLSTORM/DAIMON HEL
"CORNELIUS, DR.",MAVERICK/CHRISTOPHER
BLACK BOLT/BLACKANTO,TRITON
ROGUE /,HAVOK/ALEX SUMMERS 
LOKI [ASGARDIAN],SCARLET WITCH/WANDA
NIGHTCRAWLER/KURT WA,"WILFORD, BONNIE"
AJAK/TECUMOTZIN [ETE,ARABIAN KNIGHT/ABDUL
BEDLAM/JESSE AARONSO,DOMINO III/BEATRICE/
STORM/ORORO MUNROE S,ICEMAN/ROBERT BOBBY
MORDRED THE EVIL,QUASAR III/WENDELL V
THOR/DR. DONALD BLAK,HUMAN TORCH/JOHNNY S
SHADOWCAT/KATHERINE ,KYMRI
SHE-HULK/JENNIFER WA,VOLSTAGG
ZABU,SHANNA/SHANNA O'HARA
TOAD/MORTIMER TOYNBE,SHATTERSTAR II/GAVEE
DAREDEVIL/MATT MURDO,"JONES, RICHARD MILHO"
HOBGOBLIN V/JASON PH,SPIDER-MAN/PETER PARKER
PESTILENCE/CAPT. F.R,NORTHSTAR/JEAN-PAUL 
"MCKEEVER, TINY",THING/BENJAMIN J. GR
"SUMMERS, MADELYNE MA",BARBARUS
SPIDER-MAN/PETER PARKER,WRECKER III/DIRK GAR
SAMEDAR,CORSAIR
ABOMINATION/EMIL BLO,STRANGER
HODER [ASGARDIAN],ZEUS
CONSTRICTOR/FRANK PA,BLUE STREAK/
WONG,SILVER SURFER/NORRIN
MARVEL GIRL/JEAN GRE,JUBILEE/JUBILATION L
MR. FANTASTIC/REED R,"BEL-DANN, GEN."
GHOST GIRL/,DYNA-MITE/ROGER AUBR
ARRANGER/,HIGH EVOLUTIONARY/HE
KUROKO/,CYBERTOOTH/YEN HSIEH
SHE-HULK/JENNIFER WA,MR. FANTASTIC/REED R
"FAIRMONT, HANNAH",DESIGNATE/TARENE
THOR/DR. DONALD BLAK,KARNAK [INHUMAN]
LOKI [ASGARDIAN],DR. DOOM/VICTOR VON 
VOLSTAGG,BLACK KNIGHT V/DANE 
DAREDEVIL/MATT MURDO,BLACK WIDOW/NATASHA 
ARIES II/GROVER RAYM,BLACK PANTHER/T'CHAL
SLAB/KRIS ANDERSON,STROBE/
CAPTAIN BRITAIN/BRIA,MOONSTONE II/KARLA S
THING/BENJAMIN J. GR,DAZZLER II/ALLISON B
IRON MAN/TONY STARK,THING/BENJAMIN J. GR
"LOMENZO, NICOLE",BOOMER/TABITHA SMITH
"JAMESON, J. JONAH","URICH, BEN"
MEDUSA/MEDUSALITH AM,BALDER [ASGARDIAN]
SCARLET WITCH/WANDA,CYCLOPS/SCOTT SUMMER
SPIDER-MAN CLONE/BEN,REINHOLDT
SIBERION,"VONYA, DR. ANATOLY"
"GREY, ELAINE",CANNONBALL II/SAM GU
NUKLO/ROBERT FRANK J,MOONSTONE II/KARLA S
